"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US1330295","ZCTA5 30295, Georgia","4159"
"8710000US1330296","ZCTA5 30296, Georgia","25840"
"8710000US1330297","ZCTA5 30297, Georgia","27188"
"8710000US1330303","ZCTA5 30303, Georgia","5934"
"8710000US1330305","ZCTA5 30305, Georgia","22999"
"8710000US1330306","ZCTA5 30306, Georgia","22246"
"8710000US1330307","ZCTA5 30307, Georgia","18004"
"8710000US1330308","ZCTA5 30308, Georgia","15413"
"8710000US1330309","ZCTA5 30309, Georgia","21845"
"8710000US1330310","ZCTA5 30310, Georgia","26912"
"8710000US1330311","ZCTA5 30311, Georgia","32218"
"8710000US1330312","ZCTA5 30312, Georgia","19360"
"8710000US1330313","ZCTA5 30313, Georgia","9495"
"8710000US1330314","ZCTA5 30314, Georgia","22020"
"8710000US1330315","ZCTA5 30315, Georgia","33857"
"8710000US1330316","ZCTA5 30316, Georgia","31110"
"8710000US1330317","ZCTA5 30317, Georgia","11970"
"8710000US1330318","ZCTA5 30318, Georgia","49736"
"8710000US1330319","ZCTA5 30319, Georgia","38423"
"8710000US1330322","ZCTA5 30322, Georgia","2023"
"8710000US1330324","ZCTA5 30324, Georgia","24267"
"8710000US1330326","ZCTA5 30326, Georgia","4802"
"8710000US1330327","ZCTA5 30327, Georgia","22208"
"8710000US1330328","ZCTA5 30328, Georgia","30348"
"8710000US1330329","ZCTA5 30329, Georgia","28539"
"8710000US1330331","ZCTA5 30331, Georgia","54094"
"8710000US1330332","ZCTA5 30332, Georgia","2970"
"8710000US1330334","ZCTA5 30334, Georgia","1"
"8710000US1330336","ZCTA5 30336, Georgia","971"
"8710000US1330337","ZCTA5 30337, Georgia","11505"
"8710000US1330338","ZCTA5 30338, Georgia","33617"
"8710000US1330339","ZCTA5 30339, Georgia","18304"
"8710000US1330340","ZCTA5 30340, Georgia","29394"
"8710000US1330341","ZCTA5 30341, Georgia","31793"
"8710000US1330342","ZCTA5 30342, Georgia","29879"
"8710000US1330344","ZCTA5 30344, Georgia","31776"
"8710000US1330345","ZCTA5 30345, Georgia","23129"
"8710000US1330346","ZCTA5 30346, Georgia","4696"
"8710000US1330349","ZCTA5 30349, Georgia","67602"
"8710000US1330350","ZCTA5 30350, Georgia","34740"
"8710000US1330354","ZCTA5 30354, Georgia","14857"
"8710000US1330360","ZCTA5 30360, Georgia","14536"
"8710000US1330363","ZCTA5 30363, Georgia","2680"
"8710000US1330401","ZCTA5 30401, Georgia","13500"
"8710000US1330410","ZCTA5 30410, Georgia","2168"
"8710000US1330411","ZCTA5 30411, Georgia","4371"
"8710000US1330412","ZCTA5 30412, Georgia","80"
"8710000US1330413","ZCTA5 30413, Georgia","1575"
"8710000US1330415","ZCTA5 30415, Georgia","6780"
"8710000US1330417","ZCTA5 30417, Georgia","11090"
"8710000US1330420","ZCTA5 30420, Georgia","1460"
"8710000US1330421","ZCTA5 30421, Georgia","3381"
"8710000US1330423","ZCTA5 30423, Georgia","120"
"8710000US1330425","ZCTA5 30425, Georgia","1198"
"8710000US1330426","ZCTA5 30426, Georgia","1100"
"8710000US1330427","ZCTA5 30427, Georgia","12864"
"8710000US1330428","ZCTA5 30428, Georgia","2766"
"8710000US1330429","ZCTA5 30429, Georgia","205"
